annee;mois;date;jourSemaine;semaine;identifiantLigne;nomCourtLigne;typeLigne;categorieLigne;Frequentation
2023;Septembre;2023-09-16;Samedi;38;9999;9999;Non identifié;Non identifiée;867.05882
2023;Septembre;2023-09-22;Vendredi;39;62;62;Métropolitaine;Régulières Métropolitaines;1409.41176
2023;Décembre;2023-12-06;Mercredi;50;7;C7;CHRONOSTAR;CHRONOSTAR;3095.29412
2023;Septembre;2023-09-05;Mardi;37;1;C1;CHRONOSTAR;CHRONOSTAR;12574.11765
2023;Décembre;2023-12-29;Vendredi;53;54;54;Métropolitaine;Régulières Métropolitaines;1877.64706
2023;Septembre;2023-09-17;Dimanche;38;3;C3;CHRONOSTAR;CHRONOSTAR;1707.05882
2023;Septembre;2023-09-22;Vendredi;39;65;65;Métropolitaine;Régulières Métropolitaines;1131.76471
2023;Décembre;2023-12-06;Mercredi;50;39;39;Inter-quartiers;Régulières Urbaines;20.0
2023;Septembre;2023-09-05;Mardi;37;5;C5;CHRONOSTAR;CHRONOSTAR;11204.70588
2023;Décembre;2023-12-29;Vendredi;53;61;61;Métropolitaine;Régulières Métropolitaines;1094.11765
2023;Septembre;2023-09-17;Dimanche;38;6;C6;CHRONOSTAR;CHRONOSTAR;2675.29412
2023;Septembre;2023-09-22;Vendredi;39;72;72;Métropolitaine;Régulières Métropolitaines;2603.52941
2023;Décembre;2023-12-06;Mercredi;50;79;79;Métropolitaine;Régulières Métropolitaines;371.76471
2023;Septembre;2023-09-05;Mardi;37;12;12;Urbaine;Régulières Urbaines;5394.11765
2023;Décembre;2023-12-29;Vendredi;53;72;72;Métropolitaine;Régulières Métropolitaines;1272.94118
2023;Septembre;2023-09-17;Dimanche;38;13;13;Urbaine;Régulières Urbaines;8.23529
2023;Septembre;2023-09-22;Vendredi;39;77;77;Métropolitaine;Régulières Métropolitaines;2230.58824
2023;Décembre;2023-12-06;Mercredi;50;83;83;Métropolitaine;Régulières Métropolitaines;755.29412
2023;Septembre;2023-09-05;Mardi;37;14;14;Urbaine;Régulières Urbaines;6320.0
2023;Décembre;2023-12-29;Vendredi;53;77;77;Métropolitaine;Régulières Métropolitaines;1260.0
2023;Septembre;2023-09-17;Dimanche;38;51;51;Métropolitaine;Régulières Métropolitaines;394.11765
2023;Septembre;2023-09-22;Vendredi;39;79;79;Métropolitaine;Régulières Métropolitaines;361.17647
2023;Décembre;2023-12-06;Mercredi;50;91;91;Intercommunale;Régulières Métropolitaines;561.17647
2023;Septembre;2023-09-05;Mardi;37;34;34;Inter-quartiers;Régulières Urbaines;812.94118
2023;Décembre;2023-12-29;Vendredi;53;78;78;Métropolitaine;Régulières Métropolitaines;627.05882
2023;Septembre;2023-09-17;Dimanche;38;62;62;Métropolitaine;Régulières Métropolitaines;428.23529
2023;Septembre;2023-09-22;Vendredi;39;80;80;Métropolitaine;Régulières Métropolitaines;544.70588
2023;Décembre;2023-12-06;Mercredi;50;153;153ex;Express;Régulières Métropolitaines;316.47059
2023;Septembre;2023-09-05;Mardi;37;51;51;Métropolitaine;Régulières Métropolitaines;1534.11765
2023;Décembre;2023-12-29;Vendredi;53;91;91;Intercommunale;Régulières Métropolitaines;61.17647
2023;Septembre;2023-09-17;Dimanche;38;122;N2;STAR de Nuit;Régulières Urbaines;84.70588
2023;Septembre;2023-09-22;Vendredi;39;121;N1;STAR de Nuit;Régulières Urbaines;309.41176
2023;Décembre;2023-12-06;Mercredi;50;165;165ex;Express;Régulières Métropolitaines;29.41176
2023;Septembre;2023-09-05;Mardi;37;53;53;Métropolitaine;Régulières Métropolitaines;2745.88235
2023;Décembre;2023-12-30;Samedi;53;3;C3;CHRONOSTAR;CHRONOSTAR;7055.29412
2023;Septembre;2023-09-17;Dimanche;38;1001;a;Métro;METRO;53865.82223
2023;Septembre;2023-09-22;Vendredi;39;167;167ex;Express;Régulières Métropolitaines;87.05882
2023;Décembre;2023-12-06;Mercredi;50;168;168ex;Express;Régulières Métropolitaines;144.70588
2023;Septembre;2023-09-05;Mardi;37;54;54;Métropolitaine;Régulières Métropolitaines;3138.82353
2023;Décembre;2023-12-30;Samedi;53;14;14;Urbaine;Régulières Urbaines;2956.47059
2023;Septembre;2023-09-18;Lundi;39;1;C1;CHRONOSTAR;CHRONOSTAR;14038.82353
2023;Septembre;2023-09-22;Vendredi;39;172;172ex;Express;Régulières Métropolitaines;137.64706
2023;Décembre;2023-12-07;Jeudi;50;7;C7;CHRONOSTAR;CHRONOSTAR;2901.17647
2023;Septembre;2023-09-05;Mardi;37;55;55;Métropolitaine;Régulières Métropolitaines;2444.70588
2023;Décembre;2023-12-30;Samedi;53;50;50;Métropolitaine;Régulières Métropolitaines;560.0
2023;Septembre;2023-09-18;Lundi;39;7;C7;CHRONOSTAR;CHRONOSTAR;4161.17647
2023;Septembre;2023-09-22;Vendredi;39;178;178ex;Express;Régulières Métropolitaines;294.11765
2023;Décembre;2023-12-07;Jeudi;50;54;54;Métropolitaine;Régulières Métropolitaines;3010.58824
2023;Septembre;2023-09-05;Mardi;37;67;67;Métropolitaine;Régulières Métropolitaines;1609.41176
2023;Décembre;2023-12-30;Samedi;53;72;72;Métropolitaine;Régulières Métropolitaines;1065.88235
2023;Septembre;2023-09-18;Lundi;39;10;10;Urbaine;Régulières Urbaines;4065.88235
2023;Septembre;2023-09-22;Vendredi;39;1001;a;Métro;METRO;152616.13943
2023;Décembre;2023-12-07;Jeudi;50;55;55;Métropolitaine;Régulières Métropolitaines;2760.0
2023;Septembre;2023-09-05;Mardi;37;70;70;Métropolitaine;Régulières Métropolitaines;209.41176
2023;Décembre;2023-12-31;Dimanche;53;11;11;Urbaine;Régulières Urbaines;1601.17647
